ts,cpu
1775411810.047642,22.45
1775411811.054017,21.70
1775411812.055704,21.19
1775411813.059331,22.04
1775411814.060776,23.48
1775411815.071535,24.55
1775411816.074610,22.14
1775411817.078661,23.33
1775411818.093073,26.70
1775411819.107177,25.93
1775411820.118412,24.44
1775411821.129503,23.37
1775411822.144203,25.98
1775411823.166605,27.47
1775411824.170587,22.11
1775411825.178495,22.92
1775411826.183214,22.62
1775411827.187683,26.55
1775411828.205444,28.63
1775411829.210390,25.48
1775411830.217324,22.75
1775411831.229280,22.68
1775411832.234771,24.77
1775411833.238536,25.53
1775411834.242209,26.26
1775411835.245229,25.31
1775411836.248437,21.79
1775411837.251627,21.96
1775411838.256686,24.40
1775411839.265249,22.54
1775411840.267295,22.13
1775411841.273582,22.00
1775411842.277040,25.17
1775411843.280169,24.66
1775411844.282530,23.77
1775411845.285531,23.52
1775411846.290617,21.95
1775411847.295789,22.56
1775411848.303481,22.56
1775411849.309430,24.49
1775411850.314743,25.78
1775411851.318593,23.54
1775411852.346785,27.04
1775411853.365972,29.06
1775411854.377145,25.17
1775411855.426970,25.59
1775411856.433586,22.85
1775411857.444276,26.98
1775411858.453874,26.89
1775411859.466215,24.83
1775411860.468400,24.10
1775411861.470859,21.39
1775411862.492549,22.09
1775411863.504035,23.72
1775411864.513074,24.83
1775411865.522604,23.48
1775411866.559740,24.23
1775411867.563918,24.92
1775411868.576571,27.55
1775411869.579537,25.17
1775411870.581220,22.97
1775411871.594051,23.67
1775411872.604570,25.17
1775411873.608807,25.64
1775411874.613362,25.03
1775411875.619003,21.02
1775411876.627223,23.27
1775411877.639602,26.63
1775411878.644689,25.17
1775411879.650027,23.85
1775411880.658129,23.60
1775411881.684754,25.45
1775411882.691825,28.27
1775411883.697137,27.93
1775411884.751973,26.87
1775411885.758000,25.81
1775411886.769605,27.75
1775411887.779243,27.45
1775411888.783642,24.77
1775411889.787090,21.40
1775411890.791701,21.26
1775411891.807930,24.83
1775411892.810870,25.78
1775411893.818326,23.98
1775411894.824830,23.62
1775411895.828848,22.92
1775411896.830366,21.91
1775411897.834397,24.00
1775411898.838321,25.70
1775411899.840273,23.60
1775411900.844252,20.74
1775411901.846933,19.80
1775411902.853331,22.95
1775411903.861189,24.40
1775411904.867680,23.10
1775411905.871459,23.21
1775411906.876019,22.96
1775411907.887553,25.33
1775411908.910038,28.10
1775411909.912935,24.44
1775411910.921088,22.34
1775411911.928769,24.94
1775411912.939568,29.53
1775411913.943798,27.86
1775411914.957706,23.72
1775411915.961409,24.38
1775411916.963512,25.59
1775411917.975036,25.70
1775411918.979861,25.03
1775411919.987125,23.68
1775411920.994906,23.12
1775411922.030318,24.92
1775411923.035275,24.72
1775411924.041115,25.81
1775411925.047038,27.55
1775411926.051305,25.28
1775411927.055712,23.85
1775411928.064292,24.63
1775411929.068770,23.86
1775411930.073425,21.89
1775411931.077919,22.95
1775411932.087420,24.52
1775411933.101287,24.95
1775411934.106913,24.75
1775411935.116062,25.97
1775411936.124590,23.31
1775411937.127707,24.55
1775411938.130767,24.94
1775411939.134745,22.37
1775411940.144036,21.25
1775411941.145995,22.03
1775411942.155399,25.39
1775411943.158007,25.28
1775411944.162267,24.37
1775411945.168328,23.92
1775411946.171880,22.29
1775411947.181185,24.21
1775411948.199371,26.91
1775411949.207633,26.37
1775411950.209162,24.86
1775411951.211695,23.92
1775411952.221328,23.89
1775411953.222614,24.60
1775411954.225308,24.52
1775411955.232517,25.55
1775411956.236733,24.00
1775411957.258923,27.30
1775411958.310846,26.28
1775411959.315101,25.53
1775411960.316257,23.32
1775411961.322173,24.43
1775411962.332045,25.82
1775411963.341339,26.92
1775411964.343250,25.20
1775411965.345083,20.50
1775411966.363753,20.73
1775411967.374843,24.58
1775411968.376255,25.91
1775411969.378388,26.96
1775411970.387296,23.90
1775411971.389720,23.92
1775411972.393987,27.97
1775411973.407568,26.66
1775411974.411242,24.72
1775411975.420968,25.36
1775411976.431791,23.37
1775411977.438071,25.33
1775411978.444742,25.81
1775411979.450400,22.16
1775411980.454681,23.16
1775411981.458175,21.71
1775411982.473241,26.07
1775411983.474560,26.50
1775411984.476048,24.66
1775411985.480189,24.20
1775411986.497928,22.88
1775411987.502557,25.11
1775411988.506951,26.49
1775411989.510842,24.49
1775411990.513415,23.00
1775411991.522362,21.33
1775411992.536416,22.04
1775411993.557787,25.28
1775411994.562444,26.35
1775411995.567213,23.06
1775411996.580979,22.60
1775411997.591825,25.63
1775411998.600918,26.14
1775411999.607973,26.05
1775412000.611098,24.72
1775412001.626740,25.91
1775412002.634604,29.01
1775412003.649133,26.53
1775412004.654387,22.12
1775412005.660669,23.05
1775412006.669659,24.20
1775412007.699098,27.68
1775412008.704414,27.07
1775412009.709936,24.94
1775412010.712997,23.11
1775412011.721627,24.44
1775412012.752088,25.49
1775412013.758386,25.69
1775412014.794762,26.33
1775412015.797288,26.11
1775412016.802691,25.14
1775412017.806700,25.59
1775412018.808705,21.93
1775412019.813145,22.62
1775412020.819771,23.74
1775412021.828896,23.76
1775412022.835209,25.17
1775412023.847867,25.03
1775412024.855367,23.29
1775412025.859558,22.86
1775412026.875532,23.81
1775412027.891769,26.72
1775412028.896823,29.35
1775412029.912175,26.04
1775412030.925390,24.41
1775412031.944859,23.73
1775412032.952898,26.77
1775412033.958741,25.87
1775412034.970287,26.43
1775412035.976493,25.93
1775412036.987196,22.96
1775412037.997244,24.29
1775412039.005786,23.95
1775412040.010166,23.09
1775412041.016507,21.45
1775412042.031594,22.82
1775412043.038447,26.22
1775412044.048978,24.32
1775412045.051924,22.62
1775412046.058864,22.94
1775412047.073189,24.92
1775412048.081591,25.14
1775412049.084010,24.09
1775412050.096567,22.94
1775412051.099669,22.50
1775412052.107428,24.75
1775412053.118175,25.91
1775412054.121408,24.52
1775412055.125602,25.25
1775412056.133814,24.97
1775412057.141683,22.14
1775412058.168367,25.95
1775412059.177759,25.44
1775412060.189128,25.91
1775412061.190223,24.77
1775412062.194142,27.89
1775412063.201795,28.43
1775412064.211640,26.21
1775412065.220567,27.37
1775412066.225200,26.49
1775412067.233285,28.37
1775412068.236336,29.01
1775412069.244412,28.27
1775412070.251232,27.91
1775412071.261250,26.46
1775412072.264933,27.45
1775412073.267694,25.39
1775412074.286413,25.47
1775412075.316635,25.71
1775412076.324039,25.22
1775412077.352084,28.85
1775412078.357306,29.28
1775412079.365438,28.53
1775412080.370359,26.05
1775412081.381880,26.42
1775412082.390351,28.31
1775412083.407305,27.79
1775412084.419544,28.02
1775412085.435949,27.57
1775412086.452036,25.38
1775412087.454914,28.37
1775412088.475466,29.16
1775412089.490674,27.80
1775412090.492842,25.44
1775412091.496019,25.59
1775412092.519290,29.45
1775412093.544775,28.79
1775412094.567980,30.63
1775412095.579820,27.89
1775412096.582374,27.98
1775412097.588694,28.91
1775412098.612436,27.33
1775412099.625333,26.98
1775412100.637130,25.52
1775412101.648079,26.19
1775412102.656912,29.44
1775412103.666788,27.42
1775412104.687367,28.00
1775412105.694632,28.14
1775412106.709933,27.17
1775412107.722882,27.36
1775412108.725638,26.43
1775412109.727951,25.14
