ts,cpu
1768753063.551572,19.57
1768753064.552427,18.82
1768753065.557591,18.03
1768753066.559004,18.19
1768753067.560512,18.94
1768753068.564816,18.97
1768753069.567210,18.77
1768753070.569802,18.67
1768753071.573003,18.83
1768753072.575268,18.75
1768753073.577861,18.47
1768753074.581438,19.66
1768753075.584723,19.88
1768753076.587187,19.52
1768753077.591230,19.32
1768753078.595623,18.29
1768753079.601327,18.37
1768753080.608549,17.97
1768753081.610941,17.67
1768753082.613748,18.08
1768753083.614701,17.77
1768753084.616367,18.08
1768753085.618420,17.81
1768753086.620713,17.67
1768753087.624618,18.08
1768753088.629546,18.30
1768753089.633649,18.42
1768753090.634818,18.49
1768753091.638194,18.22
1768753092.643503,18.07
1768753093.649099,17.58
1768753094.651710,18.28
1768753095.655026,17.77
1768753096.657761,18.06
1768753097.659450,17.59
1768753098.663338,17.53
1768753099.666631,17.75
1768753100.668893,17.88
1768753101.671729,17.93
1768753102.676384,18.50
1768753103.680159,18.92
1768753104.686216,18.90
1768753105.690655,18.46
1768753106.694005,17.85
1768753107.696965,17.90
1768753108.699392,17.36
1768753109.704146,18.36
1768753110.712624,18.44
1768753111.717113,18.66
1768753112.718590,18.79
1768753113.724718,17.99
1768753114.727628,17.88
1768753115.732021,17.69
1768753116.735023,17.48
1768753117.737876,17.40
1768753118.740642,17.25
1768753119.742232,17.38
1768753120.745813,16.96
1768753121.746922,17.51
1768753122.749892,17.46
1768753123.752458,17.93
1768753124.755123,17.38
1768753125.756628,16.98
1768753126.763495,17.48
1768753127.767418,17.17
1768753128.770612,17.67
1768753129.775362,17.13
1768753130.780444,17.67
1768753131.783718,17.36
1768753132.785081,17.90
1768753133.787565,17.44
1768753134.794762,17.98
1768753135.797140,18.26
1768753136.801086,16.96
1768753137.803829,17.11
1768753138.807918,17.34
1768753139.811140,17.44
1768753140.815766,18.19
1768753141.817256,17.54
1768753142.820079,17.88
1768753143.823322,17.73
1768753144.824717,17.73
1768753145.827806,17.38
1768753146.829065,17.40
1768753147.831323,17.40
1768753148.835445,17.38
1768753149.838192,18.06
1768753150.840986,17.54
1768753151.843623,17.75
1768753152.848621,17.74
1768753153.854364,18.70
1768753154.857021,19.11
1768753155.863943,18.19
1768753156.866674,17.96
1768753157.873523,17.68
1768753158.875445,17.48
1768753159.878192,17.65
1768753160.880455,17.69
1768753161.883932,17.85
1768753162.889792,18.22
1768753163.891204,18.12
1768753164.895205,18.50
1768753165.900513,18.03
1768753166.902295,17.65
1768753167.905936,17.77
1768753168.910239,18.00
1768753169.912673,17.83
1768753170.915971,17.65
1768753171.920136,17.93
1768753172.924170,17.85
1768753173.928548,17.48
1768753174.932394,17.23
1768753175.933996,17.23
1768753176.937918,17.98
1768753177.940802,17.57
