ts,cpu
1775413391.668626,24.49
1775413392.677882,25.06
1775413393.681568,24.38
1775413394.712992,25.22
1775413395.716292,23.38
1775413396.733839,24.04
1775413397.737521,25.53
1775413398.744211,25.28
1775413399.746455,21.22
1775413400.755094,20.50
1775413401.755984,22.61
1775413402.764194,25.58
1775413403.773289,24.94
1775413404.783332,25.48
1775413405.789945,24.29
1775413406.794247,23.98
1775413407.814943,24.66
1775413408.825298,26.55
1775413409.829000,26.36
1775413410.842100,23.15
1775413411.844084,21.84
1775413412.854676,23.66
1775413413.859543,23.25
1775413414.875278,24.33
1775413415.879067,23.07
1775413416.908622,22.16
1775413417.916280,23.46
1775413418.928993,25.53
1775413419.931578,25.70
1775413420.941611,23.31
1775413421.952823,25.28
1775413422.958351,26.40
1775413423.970896,25.22
1775413424.973606,21.51
1775413425.977667,19.98
1775413426.980708,22.55
1775413427.999746,24.27
1775413429.012165,23.93
1775413430.024240,23.32
1775413431.043338,22.43
1775413432.049981,24.64
1775413433.060393,25.11
1775413434.064759,23.92
1775413435.068993,23.89
1775413436.070739,21.87
1775413437.085666,22.11
1775413438.089620,25.03
1775413439.103195,25.11
1775413440.107080,22.11
1775413441.120912,22.66
1775413442.124628,24.41
1775413443.128067,28.65
1775413444.132612,26.50
1775413445.175348,24.21
1775413446.192547,23.18
1775413447.202275,24.89
1775413448.204686,25.61
1775413449.221167,22.20
1775413450.223322,21.45
1775413451.239719,23.25
1775413452.252514,27.87
1775413453.275100,28.16
1775413454.287899,24.69
1775413455.290157,23.06
1775413456.297300,22.67
1775413457.299433,23.33
1775413458.302402,26.49
1775413459.305894,22.31
1775413460.310419,21.17
1775413461.314376,20.48
1775413462.317582,24.03
1775413463.329376,24.66
1775413464.338259,22.89
1775413465.347288,24.77
1775413466.351780,21.53
1775413467.357982,23.91
1775413468.366538,25.31
1775413469.374031,25.58
1775413470.376065,23.65
1775413471.380367,22.63
1775413472.403251,26.07
1775413473.417974,24.24
1775413474.420735,23.39
1775413475.425809,23.31
1775413476.432526,23.36
1775413477.439337,24.58
1775413478.445072,24.23
1775413479.447607,25.36
1775413480.449618,23.00
1775413481.453838,23.38
1775413482.473410,25.11
1775413483.478693,23.57
1775413484.498216,24.80
1775413485.504729,21.50
1775413486.521820,23.25
1775413487.529040,25.41
1775413488.531920,27.06
1775413489.533848,24.14
1775413490.537909,23.71
1775413491.540087,24.26
1775413492.566000,26.48
1775413493.582268,25.75
1775413494.585302,25.78
1775413495.601290,25.14
1775413496.609692,23.74
1775413497.632829,24.86
1775413498.650589,24.20
1775413499.662223,23.75
1775413500.669165,22.57
1775413501.684317,24.92
1775413502.690120,27.15
1775413503.743653,26.68
1775413504.748136,22.94
1775413505.754981,23.92
1775413506.797520,25.41
1775413507.805981,26.09
1775413508.824197,27.08
1775413509.826301,25.22
1775413510.828689,22.84
1775413511.831942,22.92
1775413512.840818,25.20
1775413513.848832,25.80
1775413514.860307,27.29
1775413515.865913,24.69
1775413516.890588,26.90
1775413517.899766,28.23
1775413518.901496,27.12
1775413519.918791,25.33
1775413520.922692,23.93
1775413521.931961,23.29
1775413522.948142,24.83
1775413524.002152,25.87
1775413525.019046,26.12
1775413526.030888,24.41
1775413527.035963,23.63
1775413528.061123,26.07
1775413529.086002,26.52
1775413530.095992,26.78
1775413531.110586,25.00
1775413532.128294,25.72
1775413533.138239,27.40
1775413534.152236,26.62
1775413535.160083,26.08
1775413536.166748,24.24
1775413537.204396,26.81
1775413538.215299,26.32
1775413539.227997,25.66
1775413540.232295,26.50
1775413541.242794,23.59
1775413542.250811,22.24
1775413543.253378,24.55
1775413544.255574,25.40
1775413545.272811,25.55
1775413546.280010,24.63
1775413547.307175,27.22
1775413548.314208,26.89
1775413549.317158,26.07
1775413550.320921,23.36
1775413551.323236,23.62
1775413552.336407,26.02
1775413553.340783,26.32
1775413554.353975,24.97
1775413555.357361,24.03
1775413556.370548,22.71
1775413557.374411,25.03
1775413558.393124,27.21
1775413559.397432,27.63
1775413560.400959,28.20
1775413561.405592,25.89
1775413562.412757,28.57
1775413563.417826,27.41
1775413564.428559,25.72
1775413565.431983,23.80
1775413566.436881,24.63
1775413567.469971,26.49
1775413568.471978,25.52
1775413569.484218,26.27
1775413570.495745,21.13
1775413571.523073,24.14
1775413572.527020,25.37
1775413573.539841,25.56
1775413574.543663,24.00
1775413575.551445,23.60
1775413576.563242,25.58
1775413577.574018,25.78
1775413578.587880,25.75
1775413579.592844,25.58
1775413580.595999,25.08
1775413581.605042,24.46
1775413582.637870,26.99
1775413583.643097,26.13
1775413584.653122,22.57
1775413585.658077,23.03
1775413586.667747,25.06
1775413587.681989,26.37
1775413588.686676,27.08
1775413589.688938,25.34
1775413590.690939,24.55
1775413591.696960,25.31
1775413592.713208,28.42
1775413593.727290,29.05
1775413594.734541,27.47
1775413595.738335,26.00
1775413596.745704,23.75
1775413597.748805,21.45
1775413598.753389,22.67
1775413599.769269,23.13
1775413600.775130,23.60
1775413601.778903,23.71
1775413602.787658,25.31
1775413603.793455,24.83
1775413604.824916,25.61
1775413605.848587,23.65
1775413606.854987,24.32
1775413607.870747,26.73
1775413608.875758,25.75
1775413609.883435,23.80
1775413610.889430,20.43
1775413611.891248,22.48
1775413612.896415,25.62
1775413613.903238,24.78
1775413614.909028,26.03
1775413615.910397,23.73
1775413616.918971,25.56
1775413617.928427,28.80
1775413618.946647,26.88
1775413619.959394,24.80
1775413620.969635,23.33
1775413621.971782,25.75
1775413622.989273,27.97
1775413623.990797,24.97
1775413624.995589,22.47
1775413626.005425,23.43
1775413627.009185,25.34
1775413628.014568,25.40
1775413629.035093,25.36
1775413630.041709,24.55
1775413631.050581,24.41
1775413632.077996,25.30
1775413633.087747,27.49
1775413634.091651,25.00
1775413635.093352,24.34
1775413636.102705,24.10
1775413637.107071,21.74
1775413638.115707,23.08
1775413639.122938,23.83
1775413640.125970,23.94
1775413641.135374,21.30
1775413642.140736,23.31
1775413643.150131,24.58
1775413644.155800,24.74
1775413645.158126,24.63
1775413646.161306,21.98
1775413647.169898,23.11
1775413648.178447,27.46
1775413649.216318,25.57
1775413650.219985,25.67
1775413651.228538,23.07
1775413652.251539,27.85
1775413653.260292,26.16
1775413654.265232,25.39
1775413655.278835,25.45
1775413656.289125,24.21
1775413657.294547,26.02
1775413658.307889,27.18
1775413659.317634,26.73
1775413660.322338,24.97
1775413661.329101,23.54
1775413662.331928,25.81
1775413663.340668,25.47
1775413664.344415,23.56
1775413665.349259,22.31
1775413666.351006,21.33
1775413667.359570,24.83
1775413668.368001,25.98
1775413669.373246,22.72
1775413670.377621,22.64
1775413671.384127,22.58
1775413672.396930,25.17
1775413673.402511,24.86
1775413674.412812,23.34
1775413675.429258,26.10
1775413676.431327,24.30
1775413677.446160,23.35
1775413678.454384,26.08
1775413679.456872,25.39
1775413680.464284,25.76
1775413681.473348,25.81
1775413682.478647,28.22
1775413683.514217,27.52
1775413684.518514,23.89
1775413685.530026,24.04
1775413686.543705,24.72
1775413687.552233,25.53
1775413688.564467,26.83
1775413689.568406,26.66
1775413690.572326,24.74
