ts,cpu
1768753386.795828,17.07
1768753387.797396,17.15
1768753388.802307,17.36
1768753389.803287,17.75
1768753390.806565,17.23
1768753391.812520,17.54
1768753392.815722,17.77
1768753393.816441,17.61
1768753394.818637,17.30
1768753395.820198,17.19
1768753396.823512,17.77
1768753397.826172,17.71
1768753398.827533,17.57
1768753399.830361,17.54
1768753400.832599,17.59
1768753401.835124,17.19
1768753402.840205,17.40
1768753403.843839,17.44
1768753404.846600,18.14
1768753405.853498,17.35
1768753406.855315,17.17
1768753407.857498,17.15
1768753408.858299,17.90
1768753409.872471,17.60
1768753410.875580,17.88
1768753411.878482,17.93
1768753412.880247,17.79
1768753413.882296,17.28
1768753414.885385,17.31
1768753415.887686,17.48
1768753416.889087,17.61
1768753417.891315,17.59
1768753418.893117,17.34
1768753419.897001,17.83
1768753420.899119,17.65
1768753421.900956,17.40
1768753422.905689,17.13
1768753423.907802,18.10
1768753424.910895,17.57
1768753425.914449,17.54
1768753426.918729,17.85
1768753427.921512,17.52
1768753428.923122,17.53
1768753429.927602,17.67
1768753430.930650,17.28
1768753431.932598,17.57
1768753432.934930,17.54
1768753433.937029,17.51
1768753434.941228,17.30
1768753435.942363,17.05
1768753436.948471,16.96
1768753437.951689,17.63
1768753438.953050,17.44
1768753439.958200,17.77
1768753440.960500,17.31
1768753441.963948,17.57
1768753442.965913,17.88
1768753443.970656,17.98
1768753444.973000,17.57
1768753445.977987,17.85
1768753446.982756,17.54
1768753447.983959,17.77
1768753448.987222,17.79
1768753449.992065,17.83
1768753450.995113,18.74
1768753451.998510,17.93
1768753453.000157,17.69
1768753454.007829,17.93
1768753455.008572,17.46
1768753456.011141,17.93
1768753457.013753,18.61
1768753458.016160,17.53
1768753459.018040,17.65
1768753460.020060,17.94
1768753461.024873,18.51
1768753462.029354,18.07
1768753463.030142,18.00
1768753464.032904,18.02
1768753465.034721,18.43
1768753466.035524,18.05
1768753467.038698,17.76
1768753468.041678,17.61
1768753469.045447,18.11
1768753470.047660,18.20
1768753471.051037,17.98
1768753472.053602,18.20
1768753473.057936,18.14
1768753474.062482,18.72
1768753475.065026,18.87
1768753476.068032,18.61
1768753477.070115,18.34
1768753478.076495,18.63
1768753479.079347,18.56
1768753480.082551,19.93
